Firma,Adresse,PLZ,Ort,WWW,Betrag,Text
Alexsandra Hofinger Yachtchater,Sportplatzstraße 36,4911,Tumeltsham,http://www.hofinger-yachtcharter.at/index.php/de/,40,
Autohaus Edinger,Höhnharter Str. 37,5252,Apsach,http://www.autohaus-edinger.at/,40,
Autohaus Ford Destinger,Höhnhart 79,5251,Höhnhart,,50,
Autohaus Landerdinger,Obermarkt 2,5270,Mauerkirchen,http://www.landerdinger.at/,30,
Autohaus Mühlbacher,"Rieder Straße 20,",5931,Mettmach,http://www.hyundai.at/Dealers/muehlbacher/Home.aspx,25,
Autohaus Renault Kriegner ,Weierfing 90,4971,Aurolzmünster,http://www.kriegner.at/,30,
Autohaus Skoda Schröcker,Hauptstrasse 17,4952,Weng i.I. im Innkreis,http://www.schroecker.at/,35,
Autohaus VW Priewasser,Salzburger Strasse 24,4910,Ried i.I.,http://www.priewasserzentrum.at/,30,
Baier Erwin Metallverarbeitung,Hart 11,4943,Geinberg,http://www.baier-metall.at/,30,
Bauunternehmen Huber-Wimmer,Gewerbegebiet 10,5261,Uttendorf,http://www.huber-wimmer.at/,40,
Biebel Hackschnitzelerzeugung,Dietraching 7,5271,Moosbach,https://hackschnitzel.wordpress.com/,40,
Christian Reich GmbH Nutzfahrzeug,Alleenweg 4,4932,Kirchheim i.I.,http://www.reich-kfz.at/,200,
Esterer Max Geräteverleih,Mühlbachweg 4,4932,Kirchheim i.I.,http://www.esterermax.at/,35,
ETL Lindlbauer,Edt 52,5273,Roßbach,http://www.etl-elektrotechnik.at/,30,
Event-Technik,Rödham 5,4932,Kirchheim i.I.,http://www.event-techniker.at/,,"Die Firma Event-Techniker aus Kirchheim im Innkreis bietet neben dem Verleih von Veranstaltungstechnik aus den Bereichen Ton, Licht, Video und Bühnenbau auch die dazugehörigen Dienstleistungen an. Vom Verleih einer kleinen Lautsprecherbox ab Lager bis hin  zur Komplettausstattung für Ihr Event inkl. Transport, Auf & Abbau sowie der Betreuung der Technik und der Künstler sind Sie hier genau richtig. Als Werkmeister für Veranstaltungs- und Eventtechnik berät Sie Wolfgang Danner gerne und erstellt Ihnen für Ihre Veranstaltung ein unverbindliches und individuelles  Angebot."
Brambeger Engelbert,Matzelsberg 18,4952,Weng i.I.,,50,
Neonex,Gewerbegebiet 2,5261,Uttendorf,http://www.neonex.at/,25,
Fahrschule Safari,Höhnharter Straße 36,5252,Aspsch i.I.,http://www.fs-safari.at/,10,
Faschang Karl,Pirath 5,4952,Weng i.I,,30,
Faschang Werkzeugbau GmbH,Pirath 12,4952,Weng i.I.,http://www.faschang.at/,30,
Ferdinand Frauscher Wohnkeramik,Höhnhart 5,5251,Höhnhart,http://www.wohnkeramik.at/,30,
Ferienpension Kirchenwirt,Kirchengasse 3,4932,Kirchheim i.I.,http://www.ferienpension.at/en/,50,
FKS Industrieböden,Aich 9,4941,Mehrnbach,http://www.fks.at/,40,
FlyInn,Schacher 17,4932,Kirchheim i.I.,http://www.sfc-ried.at/restaurant.html,100,
Forthuber Citroen,Steinbruch 17,5261,Uttendorf,http://www.citroen-partner.at/forthuber,25,
FOX HOLZ,Molkereiweg 3,4912,Neuhofen im Innkreis,http://www.foxholz.at/,30,
Fritzmobile,Hauptstraße 61,4952,Weng i.I.,http://www.fritzmobile.at/,25,
Gadermayr Toyota Innviertel GmbH,Salzburger Straße 22,4910,Ried i.I.,http://www.toyota-innviertel.at/,30,
Georg Katzlberger GmbH & Co KG,Nösting 25,4931,Mettmach,http://katzlberger.at/,30,
KFZ Haider,Grub 7,4932,Kirchheim i.I.,https://www.facebook.com/KFZ-Haider-573508149453700/info/?tab=overview,50,
KFZ Hubinger,Seifriedberg 8,4933,Wildenau,http://www.kfz-hubinger.at/,20,
KFZ Reisinger Gottfied Reisinger,Wolfharting 13,4906,Eberschwang,http://www.kfz-reisinger.at/,20,
KFZ Schachl,Ebersau 69,4920,Schildorn,http://www.kfz-schachl.at/,50,
KFZ Zubehör Brand,Renetshammer Weg 47,4910,Ried i.I.,http://www.kfz-brand.at/,30,
KFZ Zweimüller,Hauptstrasse 50,4910,Pattigham,http://www.kfz-zweimueller.at/,20,
Kletzl Der Innviertler Metzger,Gewerbepark  Wildenau 6,4933,Wildenau,http://www.kletzl.at/,30,
Karosseriefachwerkstätte Eichberger,Gewerbepark Hinterholz 5,4933,Wildenau,,40,
Lagerhaus Aspsch i.I.,Höhnharter Strasse 47,5252,Aspsch i.I.,http://www.lagerhaus.at/,35,
Land Lebt Auf Diermaier,Alleenweg 2,4932,Kirchheim i.I.,http://www.landlebtauf.com/index.php?id=88,50,
Loisi's Painting World,Gewerbepark Freiling 30,4942,Gurten,http://www.loisispaintingworld.at/,35,
Mike's Garage,Freiling 31,4942,Gurten,http://www.real-mikes-garage.com/,50,
Moser Sägewerk,Gewerbestraße 4,5261,Uttendorf,http://www.moser-holz.at/,25,
ÖAMTC Ortsgruppe,Kasting 13,5252,Aspsch i.I.,http://www.oeamtc.at/,200,
OÖ Versicherung Reiter Franz,Edt 17,4932,Kirchheim i.I.,https://www.keinesorgen.at/,35,
Polsterungen Hagn Anton,Kasing 10,4932,Kasing,,35,
Raiffeisen Bank Aspsch i.I.,Marktplatz 3,5252,Aspsch i.I.,http://www.raiffeisen-ooe.at/aspsch-wildenau,40,
Revital Aspsch i.I.,Revitalplatz 2,5252,Aspsch i.I.,http://www.revital-aspach.at/,35,
Schönberger Alternative Haustechnik,Häusberg 2,5231,Schalchen,http://www.wohlig-warm.at/,40,
Schrattenecker Autozubehör,Moosstraße 13,5230,Mattighofen,http://www.kfz-schrattenecker.at/,40,
Sparkasse Aspsch i.I.,Mettmacher Strasse 1,5252,Apsach,http://www.sparkasse.at/,35,
Starzinger GmbH & Co KG,Bahnhofstraße 1,4890,Frankenmarkt,http://xps-stranzinger.at/,"306,7",
Stegmühl Baustoffhandel,Stegmühl 2,5251,Höhnhart,http://www.baustoffhandel-stegmuehl.at/,25,
Strabag,,,,http://www.strabag.at/,,
Tiefenthaler Landtechnik,St. Veit i.I. 5,5273,St. Veit i.I.,http://www.tiefenthaler-landtechnik.at/,30,
Turbo Drive,Schnalla 63a,4910,Tumeltsham,https://de-de.facebook.com/pages/Turbo-Drive/149963855131985,25,
Volksbank Aspsch i.I.,Höhnharter Strasse 1,5252,Aspsch i.I.,http://www.vbsab.at,40,
Werbeagentur creartive Gufler,Wildenauer Strasse 1,5252,Aspsch i.I.,http://www.creartiv-gufler.at/,30,
Zweirad Ginzinger,Frankenburgerstrasse 19,4910,Ried i.I.,http://www.ginzinger.at/filialen/ried,30,